,transcription_factor,target_gene
1569,G139,G2259
1570,G172,G2259
1571,G101,G2261
1572,G95,G2262
1573,G231,G2263
1574,G94,G2267
1575,G327,G2267
1576,G65,G2271
1577,G68,G2271
1578,G171,G2271
1579,G41,G2272
1580,G219,G2273
1581,G224,G2283
1582,G298,G2283
1583,G223,G2290
1584,G319,G2290
1585,G138,G2292
1586,G41,G2293
1587,G71,G2297
1588,G109,G2297
1589,G41,G2299
1590,G104,G2302
1591,G220,G2303
1592,G11,G2306
1593,G211,G2306
1594,G15,G2308
1595,G111,G2308
1596,G76,G2311
1597,G274,G2311
1598,G319,G2315
1599,G71,G2317
1600,G87,G2322
1601,G111,G2322
1602,G117,G2322
1603,G247,G2322
1604,G303,G2322
1605,G158,G2323
1606,G319,G2325
1607,G222,G2326
1608,G104,G2329
1609,G158,G2331
1610,G160,G2333
1611,G15,G2339
1612,G22,G2339
1613,G45,G2339
1614,G98,G2339
1615,G112,G2339
1616,G152,G2339
1617,G172,G2339
1618,G104,G2343
1619,G1,G2346
1620,G104,G2346
1621,G112,G2346
1622,G152,G2346
1623,G154,G2346
1624,G172,G2346
1625,G34,G2354
1626,G157,G2355
1627,G112,G2356
1628,G152,G2356
1629,G171,G2356
1630,G219,G2356
1631,G227,G2356
1632,G50,G2358
1633,G76,G2358
1634,G97,G2359
1635,G137,G2359
1636,G279,G2361
1637,G112,G2365
1638,G224,G2366
1639,G329,G2366
1640,G219,G2367
1641,G224,G2370
1642,G205,G2373
1643,G319,G2375
1644,G11,G2383
1645,G211,G2383
1646,G219,G2383
1647,G104,G2389
1648,G112,G2389
1649,G152,G2389
1650,G154,G2389
1651,G1,G2390
1652,G15,G2390
1653,G45,G2390
1654,G87,G2390
1655,G98,G2390
1656,G104,G2390
1657,G112,G2390
1658,G139,G2390
1659,G152,G2390
1660,G168,G2390
1661,G172,G2390
1662,G109,G2392
1663,G19,G2394
1664,G319,G2394
1665,G1,G2398
1666,G98,G2398
1667,G19,G2400
1668,G223,G2405
1669,G319,G2405
1670,G41,G2408
1671,G45,G2408
1672,G227,G2408
1673,G97,G2410
1674,G19,G2412
1675,G58,G2412
1676,G223,G2412
1677,G319,G2412
1678,G1,G2415
1679,G101,G2415
1680,G41,G2417
1681,G41,G2422
1682,G160,G2422
1683,G87,G2423
1684,G104,G2423
1685,G152,G2423
1686,G138,G2430
1687,G41,G2431
1688,G160,G2436
1689,G22,G2439
1690,G110,G2439
1691,G111,G2439
1692,G160,G2439
1693,G258,G2439
1694,G302,G2439
1695,G41,G2445
1696,G138,G2454
1697,G117,G2456
1698,G303,G2456
1699,G202,G2461
1700,G279,G2461
1701,G1,G2465
1702,G138,G2469
1703,G158,G2470
1704,G219,G2470
1705,G138,G2475
1706,G214,G2476
1707,G111,G2484
1708,G111,G2491
1709,G71,G2501
1710,G109,G2501
1711,G136,G2501
1712,G41,G2505
1713,G127,G2506
1714,G71,G2511
1715,G109,G2511
1716,G160,G2513
1717,G138,G2518
1718,G76,G2519
1719,G104,G2520
1720,G112,G2520
1721,G152,G2520
1722,G71,G2524
1723,G87,G2524
1724,G104,G2524
1725,G109,G2524
1726,G138,G2524
1727,G143,G2524
1728,G152,G2524
1729,G211,G2524
1730,G19,G2528
1731,G223,G2528
1732,G319,G2528
1733,G15,G2530
1734,G95,G2535
1735,G231,G2537
1736,G117,G2540
1737,G1,G2542
1738,G76,G2542
1739,G222,G2544
1740,G298,G2546
1741,G219,G2547
1742,G152,G2550
1743,G160,G2550
1744,G212,G2553
1745,G71,G2554
1746,G223,G2554
1747,G41,G2557
1748,G109,G2558
1749,G1,G2569
1750,G172,G2569
1751,G298,G2570
1752,G117,G2575
1753,G247,G2575
1754,G71,G2578
1755,G87,G2578
1756,G104,G2578
1757,G109,G2578
1758,G138,G2578
1759,G143,G2578
1760,G152,G2578
1761,G211,G2578
1762,G34,G2579
1763,G109,G2579
1764,G138,G2579
1765,G274,G2579
1766,G211,G2583
1767,G298,G2583
1768,G138,G2586
1769,G112,G2587
1770,G152,G2587
1771,G154,G2587
1772,G76,G2591
1773,G41,G2592
1774,G76,G2592
1775,G122,G2592
1776,G205,G2592
1777,G288,G2592
1778,G298,G2592
1779,G87,G2596
1780,G101,G2596
1781,G143,G2596
1782,G273,G2596
1783,G1,G2601
1784,G22,G2603
1785,G104,G2605
1786,G41,G2613
1787,G45,G2613
1788,G227,G2613
1789,G41,G2614
1790,G76,G2623
1791,G211,G2624
1792,G319,G2628
1793,G41,G2633
1794,G41,G2635
1795,G62,G2639
1796,G11,G2645
1797,G117,G2645
1798,G211,G2645
1799,G22,G2647
1800,G68,G2647
1801,G87,G2647
1802,G117,G2647
1803,G171,G2647
1804,G211,G2647
1805,G176,G2651
1806,G110,G2658
1807,G138,G2658
1808,G224,G2658
1809,G71,G2662
1810,G109,G2662
1811,G121,G2662
1812,G296,G2662
1813,G223,G2665
1814,G319,G2665
1815,G324,G2665
1816,G68,G2667
1817,G212,G2667
1818,G222,G2667
1819,G112,G2668
1820,G176,G2675
1821,G117,G2680
1822,G50,G2681
1823,G61,G2681
1824,G76,G2681
1825,G171,G2681
1826,G211,G2681
1827,G258,G2681
1828,G292,G2681
1829,G298,G2681
1830,G22,G2686
1831,G298,G2686
1832,G136,G2688
1833,G212,G2688
1834,G224,G2688
1835,G301,G2688
1836,G138,G2690
1837,G316,G2690
1838,G104,G2691
1839,G126,G2694
1840,G61,G2696
1841,G222,G2696
1842,G76,G2697
1843,G87,G2699
1844,G219,G2699
1845,G104,G2702
1846,G138,G2705
1847,G224,G2706
1848,G329,G2706
1849,G41,G2707
1850,G104,G2709
1851,G76,G2712
1852,G319,G2713
1853,G111,G2715
1854,G61,G2718
1855,G101,G2725
1856,G112,G2732
1857,G152,G2732
1858,G41,G2733
1859,G45,G2733
1860,G227,G2733
1861,G222,G2736
1862,G47,G2738
1863,G68,G2738
1864,G76,G2738
1865,G223,G2738
1866,G94,G2745
1867,G138,G2745
1868,G41,G2747
1869,G160,G2747
1870,G126,G2751
1871,G11,G2753
1872,G68,G2753
1873,G111,G2753
1874,G171,G2753
1875,G212,G2753
1876,G273,G2753
1877,G11,G2757
1878,G97,G2758
1879,G223,G2759
1880,G1,G2763
1881,G121,G2763
1882,G138,G2764
1883,G61,G2765
1884,G222,G2765
1885,G1,G2767
1886,G117,G2767
1887,G41,G2768
1888,G298,G2768
1889,G139,G2770
1890,G110,G2774
1891,G137,G2774
1892,G224,G2774
1893,G45,G2786
1894,G71,G2788
1895,G87,G2788
1896,G111,G2788
1897,G62,G2789
1898,G95,G2789
1899,G136,G2789
1900,G224,G2789
1901,G289,G2789
1902,G104,G2795
1903,G152,G2795
1904,G94,G2796
1905,G41,G2801
1906,G22,G2803
1907,G15,G2805
1908,G138,G2807
1909,G212,G2810
1910,G41,G2817
1911,G212,G2817
1912,G222,G2817
1913,G41,G2826
1914,G138,G2828
1915,G160,G2830
1916,G224,G2833
1917,G138,G2836
1918,G138,G2837
1919,G11,G2838
1920,G196,G2838
1921,G104,G2843
1922,G152,G2843
1923,G34,G2846
1924,G71,G2846
1925,G121,G2846
1926,G143,G2846
1927,G274,G2846
1928,G22,G2855
1929,G87,G2855
1930,G101,G2855
1931,G65,G2857
1932,G68,G2857
1933,G171,G2857
1934,G76,G2859
1935,G41,G2863
1936,G298,G2863
1937,G41,G2871
1938,G76,G2872
1939,G112,G2874
1940,G152,G2874
1941,G256,G2875
1942,G47,G2877
1943,G223,G2877
1944,G41,G2878
1945,G19,G2879
1946,G41,G2881
1947,G202,G2881
1948,G212,G2881
1949,G224,G2882
1950,G19,G2885
1951,G15,G2886
1952,G273,G2886
1953,G34,G2889
1954,G274,G2889
1955,G14,G2890
1956,G94,G2890
1957,G273,G2890
1958,G327,G2893
1959,G101,G2896
1960,G273,G2896
1961,G41,G2899
1962,G160,G2902
1963,G319,G2902
1964,G41,G2905
1965,G298,G2905
1966,G76,G2907
1967,G172,G2907
1968,G205,G2909
1969,G41,G2912
1970,G124,G2913
1971,G15,G2922
1972,G45,G2922
1973,G76,G2922
1974,G87,G2922
1975,G101,G2922
1976,G111,G2922
1977,G136,G2922
1978,G172,G2922
1979,G233,G2922
1980,G254,G2922
1981,G1,G2927
1982,G87,G2927
1983,G98,G2927
1984,G104,G2927
1985,G222,G2927
1986,G41,G2929
1987,G76,G2930
1988,G15,G2932
1989,G160,G2932
1990,G319,G2932
1991,G58,G2934
1992,G147,G2934
1993,G217,G2934
1994,G41,G2938
1995,G211,G2938
1996,G160,G2942
1997,G62,G2946
1998,G289,G2946
1999,G316,G2946
2000,G138,G2947
2001,G327,G2950
2002,G97,G2952
2003,G138,G2953
2004,G61,G2955
2005,G104,G2963
2006,G231,G2970
2007,G138,G2971
2008,G214,G2972
2009,G211,G2973
2010,G60,G2976
2011,G102,G2976
2012,G223,G2976
2013,G319,G2976
2014,G68,G2977
2015,G76,G2977
2016,G223,G2977
2017,G324,G2977
2018,G1,G2979
2019,G138,G2982
2020,G160,G2982
2021,G61,G2984
2022,G224,G2989
2023,G19,G2991
2024,G223,G2996
2025,G319,G2996
2026,G324,G2996
2027,G22,G2999
2028,G41,G2999
2029,G104,G2999
2030,G121,G2999
2031,G152,G2999
2032,G227,G2999
2033,G258,G2999
2034,G87,G3000
2035,G301,G3004
2036,G199,G3005
2037,G110,G3007
2038,G224,G3007
2039,G223,G3008
2040,G111,G3009
2041,G136,G3009
2042,G223,G3009
2043,G211,G3016
2044,G158,G3020
2045,G109,G3027
2046,G160,G3029
2047,G138,G3030
2048,G111,G3033
2049,G76,G3035
2050,G199,G3037
2051,G224,G3037
2052,G136,G3038
2053,G41,G3048
2054,G222,G3052
2055,G298,G3055
2056,G41,G3058
2057,G160,G3058
2058,G301,G3058
2059,G112,G3060
2060,G152,G3060
2061,G160,G3061
2062,G212,G3066
2063,G101,G3069
2064,G214,G3069
2065,G138,G3070
2066,G41,G3075
2067,G112,G3077
2068,G222,G3077
2069,G104,G3080
2070,G112,G3080
2071,G152,G3080
2072,G95,G3088
2073,G138,G3091
2074,G329,G3094
2075,G41,G3099
2076,G87,G3101
2077,G160,G3101
2078,G298,G3106
2079,G301,G3109
2080,G76,G3111
2081,G138,G3111
2082,G219,G3113
2083,G138,G3119
2084,G76,G3120
2085,G87,G3120
2086,G95,G3120
2087,G97,G3120
2088,G110,G3120
2089,G137,G3120
2090,G199,G3120
2091,G34,G3121
2092,G109,G3121
2093,G138,G3121
2094,G274,G3121
2095,G222,G3126
2096,G222,G3128
2097,G22,G3131
2098,G111,G3132
2099,G71,G3133
2100,G87,G3133
2101,G121,G3133
2102,G168,G3133
2103,G76,G3139
2104,G104,G3141
2105,G112,G3141
2106,G152,G3141
2107,G154,G3141
2108,G62,G3142
2109,G158,G3142
2110,G219,G3142
2111,G289,G3142
2112,G316,G3142
2113,G94,G3144
2114,G22,G3151
2115,G224,G3151
2116,G138,G3155
2117,G19,G3159
2118,G61,G3159
2119,G143,G3159
2120,G217,G3159
2121,G22,G3161
2122,G14,G3169
2123,G76,G3169
2124,G110,G3169
2125,G138,G3169
2126,G212,G3169
2127,G233,G3169
2128,G76,G3171
2129,G224,G3174
2130,G22,G3175
2131,G101,G3175
2132,G110,G3175
2133,G212,G3176
2134,G223,G3180
2135,G319,G3180
2136,G11,G3183
2137,G87,G3183
2138,G110,G3183
2139,G211,G3183
2140,G224,G3183
2141,G233,G3183
2142,G71,G3187
2143,G121,G3187
2144,G143,G3187
2145,G22,G3190
2146,G101,G3190
2147,G104,G3190
2148,G112,G3190
2149,G152,G3190
2150,G219,G3190
2151,G15,G3192
2152,G87,G3193
2153,G158,G3193
2154,G316,G3193
2155,G224,G3196
2156,G138,G3203
2157,G298,G3203
2158,G245,G3205
2159,G111,G3208
2160,G112,G3209
2161,G22,G3213
2162,G61,G3213
2163,G143,G3213
2164,G144,G3213
2165,G222,G3213
2166,G258,G3213
2167,G300,G3213
2168,G104,G3214
2169,G104,G3215
2170,G152,G3215
2171,G34,G3220
2172,G61,G3222
2173,G276,G3222
2174,G1,G3223
2175,G68,G3223
2176,G98,G3223
2177,G139,G3223
2178,G219,G3230
2179,G138,G3232
2180,G122,G3234
2181,G205,G3234
2182,G224,G3234
2183,G298,G3238
2184,G154,G3240
2185,G258,G3245
2186,G273,G3245
2187,G160,G3246
2188,G224,G3246
2189,G223,G3247
2190,G319,G3247
2191,G41,G3248
2192,G76,G3248
2193,G122,G3248
2194,G205,G3248
2195,G288,G3248
2196,G298,G3248
2197,G138,G3249
2198,G98,G3251
2199,G223,G3258
2200,G319,G3258
2201,G1,G3259
2202,G71,G3259
2203,G76,G3260
2204,G109,G3261
2205,G279,G3262
2206,G101,G3263
2207,G152,G3263
2208,G171,G3263
2209,G41,G3268
2210,G117,G3270
2211,G247,G3270
2212,G303,G3270
2213,G1,G3272
2214,G71,G3272
2215,G112,G3272
2216,G152,G3272
2217,G154,G3272
2218,G138,G3277
2219,G41,G3280
2220,G117,G3282
2221,G41,G3284
2222,G62,G3288
2223,G110,G3288
2224,G136,G3288
2225,G212,G3288
2226,G301,G3290
2227,G138,G3294
2228,G11,G3300
2229,G196,G3300
2230,G45,G3306
2231,G138,G3307
2232,G256,G3307
2233,G104,G3309
2234,G152,G3309
2235,G327,G3309
2236,G138,G3312
2237,G160,G3312
2238,G298,G3315
2239,G76,G3316
2240,G111,G3323
2241,G136,G3324
2242,G1,G3326
2243,G76,G3326
2244,G98,G3326
2245,G104,G3326
2246,G112,G3326
2247,G152,G3326
2248,G172,G3326
2249,G117,G3334
2250,G1,G3339
2251,G22,G3339
2252,G47,G3339
2253,G95,G3339
2254,G98,G3339
2255,G112,G3339
2256,G139,G3339
2257,G143,G3339
2258,G152,G3339
2259,G154,G3339
2260,G171,G3339
2261,G172,G3339
2262,G219,G3339
2263,G276,G3339
2264,G127,G3347
2265,G224,G3347
2266,G94,G3349
2267,G76,G3357
2268,G138,G3358
2269,G41,G3361
2270,G104,G3363
2271,G152,G3363
2272,G214,G3363
2273,G279,G3366
2274,G102,G3368
2275,G127,G3368
2276,G212,G3368
2277,G273,G3368
2278,G302,G3368
2279,G104,G3372
2280,G289,G3373
2281,G104,G3376
2282,G87,G3383
2283,G112,G3383
2284,G101,G3390
2285,G219,G3390
2286,G41,G3391
2287,G124,G3393
2288,G301,G3393
2289,G1,G3394
2290,G98,G3394
2291,G172,G3394
2292,G219,G3396
2293,G121,G3398
2294,G143,G3398
2295,G138,G3400
2296,G147,G3402
2297,G199,G3402
2298,G224,G3402
2299,G211,G3405
2300,G333,G3405
2301,G117,G3407
2302,G160,G3410
2303,G333,G3411
2304,G117,G3413
2305,G247,G3413
2306,G94,G3414
2307,G94,G3420
2308,G138,G3421
2309,G219,G3421
2310,G138,G3422
2311,G138,G3424
2312,G160,G3425
2313,G109,G3427
2314,G298,G3429
2315,G104,G3434
2316,G97,G3436
2317,G97,G3437
2318,G95,G3439
2319,G22,G3440
2320,G68,G3440
2321,G87,G3440
2322,G117,G3440
2323,G171,G3440
2324,G211,G3440
2325,G111,G3448
2326,G34,G3449
2327,G117,G3449
2328,G219,G3449
2329,G274,G3449
2330,G303,G3449
2331,G121,G3452
2332,G41,G3453
2333,G302,G3459
2334,G41,G3461
2335,G1,G3469
2336,G98,G3469
2337,G104,G3469
2338,G112,G3469
2339,G139,G3469
2340,G152,G3469
2341,G222,G3469
2342,G227,G3469
2343,G126,G3472
2344,G1,G3475
2345,G87,G3475
2346,G101,G3475
2347,G235,G3475
2348,G254,G3475
2349,G138,G3479
2350,G41,G3480
2351,G202,G3480
2352,G279,G3480
2353,G224,G3481
2354,G76,G3482
2355,G147,G3482
2356,G212,G3482
2357,G62,G3483
2358,G289,G3483
2359,G316,G3483
2360,G71,G3486
2361,G121,G3486
2362,G143,G3486
2363,G11,G3487
2364,G87,G3487
2365,G110,G3487
2366,G211,G3487
2367,G224,G3487
2368,G233,G3487
2369,G71,G3488
2370,G109,G3488
2371,G327,G3488
2372,G301,G3491
2373,G138,G3492
2374,G224,G3501
2375,G1,G3504
2376,G98,G3504
2377,G71,G3507
2378,G224,G3509
2379,G22,G3512
2380,G41,G3512
2381,G104,G3512
2382,G121,G3512
2383,G152,G3512
2384,G227,G3512
2385,G258,G3512
2386,G71,G3514
2387,G104,G3514
2388,G109,G3514
2389,G112,G3514
2390,G152,G3514
2391,G111,G3516
2392,G258,G3518
2393,G109,G3526
2394,G41,G3529
2395,G302,G3536
2396,G138,G3538
2397,G65,G3545
2398,G76,G3551
2399,G41,G3554
2400,G76,G3555
2401,G298,G3556
2402,G110,G3557
2403,G224,G3566
2404,G71,G3575
2405,G143,G3575
2406,G41,G3579
2407,G319,G3581
2408,G196,G3587
2409,G15,G3588
2410,G45,G3588
2411,G61,G3588
2412,G87,G3588
2413,G95,G3588
2414,G104,G3588
2415,G112,G3588
2416,G139,G3588
2417,G143,G3588
2418,G152,G3588
2419,G154,G3588
2420,G171,G3588
2421,G227,G3588
2422,G276,G3588
2423,G143,G3591
2424,G41,G3592
2425,G224,G3592
2426,G22,G3595
2427,G110,G3595
2428,G221,G3595
2429,G224,G3595
2430,G15,G3600
2431,G45,G3600
2432,G87,G3600
2433,G101,G3600
2434,G171,G3600
2435,G76,G3602
2436,G138,G3602
2437,G1,G3606
2438,G11,G3606
2439,G98,G3606
2440,G143,G3608
2441,G41,G3611
2442,G117,G3612
2443,G110,G3614
2444,G122,G3614
2445,G205,G3614
2446,G224,G3614
2447,G41,G3617
2448,G68,G3619
2449,G222,G3619
2450,G1,G3621
2451,G14,G3621
2452,G50,G3621
2453,G258,G3621
2454,G292,G3621
2455,G327,G3621
2456,G87,G3622
2457,G111,G3622
2458,G117,G3622
2459,G247,G3622
2460,G303,G3622
2461,G1,G3625
2462,G98,G3625
2463,G172,G3625
2464,G62,G3627
2465,G221,G3627
2466,G102,G3628
2467,G50,G3633
2468,G76,G3633
2469,G224,G3633
2470,G41,G3637
2471,G109,G3639
2472,G121,G3640
2473,G143,G3640
2474,G61,G3644
2475,G86,G3647
2476,G110,G3651
2477,G224,G3651
2478,G138,G3655
2479,G76,G3656
2480,G104,G3656
2481,G97,G3660
2482,G41,G3661
2483,G76,G3661
2484,G289,G3661
2485,G71,G3666
2486,G50,G3669
2487,G76,G3669
2488,G327,G3674
2489,G41,G3675
2490,G41,G3677
2491,G221,G3679
2492,G223,G3679
2493,G68,G3683
2494,G94,G3683
2495,G171,G3683
2496,G224,G3687
2497,G11,G3689
2498,G211,G3701
2499,G87,G3711
2500,G138,G3712
2501,G29,G3713
2502,G41,G3713
2503,G139,G3713
2504,G41,G3714
2505,G1,G3716
2506,G98,G3716
2507,G41,G3719
2508,G329,G3719
2509,G22,G3723
2510,G87,G3723
2511,G112,G3723
2512,G139,G3723
2513,G152,G3723
2514,G221,G3723
2515,G87,G3732
2516,G171,G3732
2517,G212,G3732
2518,G160,G3735
2519,G71,G3739
2520,G109,G3739
2521,G327,G3739
2522,G65,G3741
2523,G138,G3741
2524,G279,G3741
2525,G41,G3746
2526,G138,G3751
2527,G289,G3754
2528,G296,G3759
2529,G139,G3760
2530,G138,G3763
2531,G34,G3764
2532,G274,G3764
2533,G41,G3768
2534,G22,G3769
2535,G224,G3770
2536,G301,G3771
2537,G41,G3772
2538,G41,G3774
2539,G319,G3777
2540,G41,G3779
2541,G117,G3785
2542,G219,G3785
2543,G219,G3788
2544,G62,G3792
2545,G158,G3792
2546,G47,G3793
2547,G68,G3793
2548,G171,G3793
2549,G41,G3794
2550,G160,G3794
2551,G223,G3795
2552,G319,G3795
2553,G45,G3796
2554,G117,G3803
2555,G136,G3803
2556,G224,G3803
2557,G50,G3807
2558,G76,G3807
2559,G147,G3807
2560,G258,G3807
2561,G111,G3809
2562,G212,G3812
2563,G19,G3814
2564,G223,G3814
2565,G319,G3814
2566,G71,G3815
2567,G1,G3821
2568,G157,G3821
2569,G45,G3823
2570,G101,G3823
2571,G110,G3823
2572,G34,G3826
2573,G223,G3826
2574,G319,G3826
2575,G324,G3826
2576,G138,G3827
2577,G298,G3827
2578,G117,G3828
2579,G1,G3831
2580,G11,G3834
2581,G176,G3834
2582,G41,G3837
2583,G276,G3838
2584,G45,G3839
2585,G138,G3840
2586,G223,G3843
2587,G158,G3848
2588,G291,G3851
2589,G147,G3856
2590,G199,G3856
2591,G224,G3856
2592,G41,G3857
2593,G1,G3862
2594,G138,G3864
2595,G319,G3865
2596,G324,G3865
2597,G171,G3866
2598,G274,G3866
2599,G224,G3871
2600,G302,G3871
2601,G212,G3872
2602,G138,G3873
2603,G224,G3874
2604,G327,G3880
2605,G138,G3881
2606,G76,G3882
2607,G41,G3883
2608,G219,G3886
2609,G95,G3892
2610,G97,G3892
2611,G136,G3892
2612,G212,G3893
2613,G138,G3897
2614,G95,G3902
2615,G258,G3902
2616,G160,G3908
2617,G95,G3910
2618,G224,G3910
2619,G160,G3912
2620,G95,G3914
2621,G126,G3914
2622,G199,G3914
2623,G11,G3918
2624,G76,G3918
2625,G87,G3918
2626,G101,G3918
2627,G211,G3918
2628,G219,G3918
2629,G138,G3923
2630,G62,G3924
2631,G95,G3924
2632,G136,G3924
2633,G224,G3924
2634,G316,G3924
2635,G111,G3928
2636,G14,G3935
2637,G15,G3935
2638,G22,G3935
2639,G45,G3935
2640,G87,G3935
2641,G101,G3935
2642,G111,G3935
2643,G273,G3935
2644,G86,G3936
2645,G76,G3937
2646,G136,G3938
2647,G212,G3938
2648,G224,G3938
2649,G223,G3942
2650,G319,G3942
2651,G138,G3943
2652,G212,G3944
2653,G256,G3944
2654,G15,G3945
2655,G112,G3945
2656,G68,G3955
2657,G94,G3955
2658,G171,G3955
2659,G1,G3956
2660,G71,G3956
2661,G98,G3956
2662,G112,G3956
2663,G121,G3956
2664,G152,G3956
2665,G172,G3956
2666,G212,G3956
2667,G15,G3960
2668,G112,G3960
2669,G104,G3964
2670,G112,G3964
2671,G152,G3964
2672,G250,G3964
2673,G1,G3965
2674,G14,G3966
2675,G68,G3966
2676,G87,G3966
2677,G111,G3966
2678,G273,G3966
2679,G112,G3967
2680,G223,G3967
2681,G258,G3967
2682,G292,G3967
2683,G50,G3974
2684,G76,G3974
2685,G62,G3975
2686,G70,G3975
2687,G15,G3977
2688,G111,G3977
2689,G138,G3981
2690,G126,G3982
2691,G224,G3983
2692,G76,G3984
2693,G61,G3987
2694,G71,G3987
2695,G138,G3987
2696,G143,G3987
2697,G168,G3987
2698,G126,G3988
2699,G50,G3989
2700,G76,G3989
2701,G86,G3992
2702,G109,G3992
2703,G136,G3992
2704,G160,G3994
2705,G212,G3996
2706,G15,G3997
2707,G117,G3997
2708,G219,G3997
2709,G302,G4002
2710,G87,G4010
2711,G224,G4012
2712,G298,G4015
2713,G138,G4017
2714,G154,G4019
2715,G227,G4019
2716,G76,G4022
2717,G11,G4023
2718,G298,G4025
2719,G176,G4028
2720,G224,G4028
2721,G11,G4029
2722,G211,G4029
2723,G219,G4029
2724,G11,G4033
2725,G211,G4033
2726,G76,G4034
2727,G224,G4034
2728,G110,G4036
2729,G138,G4036
2730,G224,G4036
2731,G319,G4041
2732,G87,G4043
2733,G1,G4049
2734,G98,G4049
2735,G112,G4049
2736,G152,G4049
2737,G172,G4049
2738,G76,G4051
2739,G109,G4051
2740,G298,G4051
2741,G68,G4055
2742,G76,G4055
2743,G223,G4055
2744,G324,G4055
2745,G1,G4059
2746,G104,G4059
2747,G112,G4059
2748,G152,G4059
2749,G154,G4059
2750,G172,G4059
2751,G138,G4060
2752,G41,G4064
2753,G41,G4065
2754,G138,G4065
2755,G301,G4066
2756,G298,G4072
2757,G41,G4077
2758,G138,G4077
2759,G14,G4080
2760,G76,G4080
2761,G110,G4080
2762,G138,G4080
2763,G212,G4080
2764,G233,G4080
2765,G76,G4086
2766,G121,G4086
2767,G143,G4086
2768,G223,G4088
2769,G319,G4088
2770,G50,G4092
2771,G76,G4092
2772,G211,G4094
2773,G171,G4097
2774,G298,G4097
2775,G274,G4101
2776,G117,G4103
2777,G217,G4111
2778,G160,G4115
2779,G298,G4123
2780,G68,G4127
2781,G222,G4127
2782,G112,G4134
2783,G97,G4140
2784,G68,G4141
2785,G94,G4141
2786,G223,G4150
2787,G319,G4150
2788,G324,G4150
2789,G41,G4152
2790,G138,G4155
2791,G22,G4160
2792,G301,G4162
2793,G138,G4163
2794,G316,G4163
2795,G1,G4164
2796,G71,G4164
2797,G76,G4164
2798,G98,G4164
2799,G109,G4164
2800,G138,G4164
2801,G50,G4168
2802,G76,G4168
2803,G147,G4168
2804,G295,G4168
2805,G1,G4170
2806,G98,G4170
2807,G86,G4172
2808,G109,G4172
2809,G136,G4172
2810,G15,G4176
2811,G45,G4176
2812,G61,G4176
2813,G87,G4176
2814,G95,G4176
2815,G104,G4176
2816,G112,G4176
2817,G139,G4176
2818,G143,G4176
2819,G152,G4176
2820,G154,G4176
2821,G171,G4176
2822,G227,G4176
2823,G276,G4176
2824,G222,G4180
2825,G111,G4183
2826,G276,G4183
2827,G14,G4186
2828,G258,G4190
2829,G302,G4192
2830,G138,G4194
2831,G11,G4196
2832,G211,G4196
2833,G71,G4197
2834,G333,G4199
2835,G76,G4205
2836,G217,G4205
2837,G222,G4205
2838,G157,G4207
2839,G138,G4208
2840,G41,G4209
2841,G138,G4209
2842,G11,G4214
2843,G61,G4214
2844,G68,G4214
2845,G143,G4214
2846,G211,G4214
2847,G212,G4214
2848,G255,G4214
2849,G288,G4214
2850,G138,G4217
2851,G50,G4221
2852,G223,G4224
2853,G319,G4224
2854,G121,G4226
2855,G143,G4226
2856,G1,G4231
2857,G98,G4231
2858,G15,G4233
2859,G117,G4233
2860,G219,G4233
2861,G138,G4236
2862,G160,G4236
2863,G15,G4237
2864,G45,G4237
2865,G95,G4237
2866,G101,G4237
2867,G111,G4237
2868,G212,G4237
2869,G273,G4237
2870,G41,G4238
2871,G41,G4243
2872,G298,G4243
2873,G138,G4248
2874,G221,G4248
2875,G222,G4248
2876,G298,G4248
2877,G41,G4258
2878,G14,G4260
2879,G97,G4260
2880,G171,G4260
2881,G41,G4261
2882,G138,G4261
2883,G143,G4265
2884,G41,G4266
2885,G76,G4268
2886,G41,G4269
2887,G217,G4279
2888,G102,G4281
2889,G127,G4281
2890,G212,G4281
2891,G273,G4281
2892,G302,G4281
2893,G15,G4282
2894,G160,G4282
2895,G223,G4282
2896,G258,G4284
2897,G41,G4286
2898,G41,G4289
2899,G87,G4292
2900,G222,G4292
2901,G11,G4296
2902,G22,G4296
2903,G101,G4296
2904,G112,G4296
2905,G176,G4296
2906,G211,G4296
2907,G41,G4297
2908,G87,G4298
2909,G61,G4299
2910,G68,G4299
2911,G152,G4299
2912,G171,G4299
2913,G76,G4302
2914,G121,G4302
2915,G143,G4302
2916,G223,G4303
2917,G319,G4303
2918,G1,G4318
2919,G61,G4318
2920,G98,G4318
2921,G112,G4318
2922,G152,G4318
2923,G172,G4318
2924,G222,G4318
2925,G41,G4321
2926,G65,G4321
2927,G138,G4321
2928,G220,G4322
2929,G104,G4323
2930,G172,G4323
2931,G14,G4324
2932,G235,G4324
2933,G109,G4325
2934,G62,G4327
2935,G221,G4327
2936,G258,G4331
2937,G76,G4333
2938,G147,G4333
2939,G199,G4333
2940,G295,G4333
2941,G301,G4333
2942,G41,G4336
2943,G117,G4341
2944,G303,G4341
2945,G319,G4341
2946,G15,G4344
2947,G45,G4344
2948,G62,G4346
2949,G158,G4346
2950,G136,G4349
2951,G109,G4351
2952,G121,G4354
2953,G224,G4356
2954,G224,G4360
2955,G176,G4364
2956,G62,G4375
2957,G76,G4375
2958,G98,G4375
2959,G111,G4375
2960,G117,G4375
2961,G136,G4375
2962,G247,G4375
2963,G273,G4375
2964,G303,G4375
2965,G316,G4375
2966,G258,G4378
